"filename", "language", "JSON", "JSON with Comments", "JavaScript", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\fadhl\CODE\JS\chessgame\.eslintrc.json", "JSON with Comments", 0, 224, 0, 0, 0, 1, 1, 226
"c:\Users\fadhl\CODE\JS\chessgame\.prettierrc", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\fadhl\CODE\JS\chessgame\package-lock.json", "JSON", 16054, 0, 0, 0, 0, 0, 1, 16055
"c:\Users\fadhl\CODE\JS\chessgame\package.json", "JSON", 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\fadhl\CODE\JS\chessgame\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\fadhl\CODE\JS\chessgame\src\actions\modify.js", "JavaScript", 0, 0, 21, 0, 0, 0, 7, 28
"c:\Users\fadhl\CODE\JS\chessgame\src\actions\reset.js", "JavaScript", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\fadhl\CODE\JS\chessgame\src\actions\start.js", "JavaScript", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\fadhl\CODE\JS\chessgame\src\actions\undo.js", "JavaScript", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\fadhl\CODE\JS\chessgame\src\components\App.jsx", "JavaScript JSX", 0, 0, 0, 49, 0, 0, 5, 54
"c:\Users\fadhl\CODE\JS\chessgame\src\components\AppContext.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 9, 52
"c:\Users\fadhl\CODE\JS\chessgame\src\components\BlackPanel.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\fadhl\CODE\JS\chessgame\src\components\Board.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\fadhl\CODE\JS\chessgame\src\components\Cell.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 1, 5, 44
"c:\Users\fadhl\CODE\JS\chessgame\src\components\WhitePanel.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\fadhl\CODE\JS\chessgame\src\handlers\handle-drop.js", "JavaScript", 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\fadhl\CODE\JS\chessgame\src\handlers\handle-start.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\fadhl\CODE\JS\chessgame\src\index.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 4, 17
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\behaviors\bishop.js", "JavaScript", 0, 0, 48, 0, 0, 1, 15, 64
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\behaviors\king.js", "JavaScript", 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\behaviors\knight.js", "JavaScript", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\behaviors\pawn.js", "JavaScript", 0, 0, 43, 0, 0, 3, 15, 61
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\behaviors\queen.js", "JavaScript", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\behaviors\rook.js", "JavaScript", 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\pieces\init-board.js", "JavaScript", 0, 0, 29, 0, 0, 0, 2, 31
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\pieces\main.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\fadhl\CODE\JS\chessgame\src\pieces-related\pieces\teams.js", "JavaScript", 0, 0, 59, 0, 0, 0, 2, 61
"Total", "-", 16105, 224, 330, 186, 16, 6, 105, 16972
